timestamp,x,y,z
14970900,-37,23,-1042
15470900,50,48,-972
15970900,25,76,-1065
16470900,-124,21,-1013
16970900,39,50,-1026
17470900,19,46,-1018
17970900,-113,48,-1026
18470900,3,33,-1015
18970900,37,48,-1026
19470900,-46,74,-1065
19970900,-50,-7,-976
20470900,115,58,-1013
20970900,-31,62,-1024
21470900,-122,40,-1054
21970900,13,44,-1018
22470900,64,54,-1009
22445500,-50,52,-1030
22945500,-21,42,-1020
23445500,56,50,-1022
23945500,-60,54,-1048
24445500,-89,21,-1007
24945500,70,48,-1003
25445500,11,76,-1050
25945500,-101,58,-1050
26445500,5,-5,-989
26945500,76,78,-1034
27445500,-87,25,-1015
27945500,-48,40,-1048
28445500,17,60,-1018
28945500,-33,44,-1036
29445500,-33,48,-1022
29945500,54,15,-972
30564200,50,101,-1091
31064200,-183,3,-1003
31564200,17,29,-1024
32064200,50,68,-995
32564200,-42,64,-1052
33064200,-33,40,-1032
33564200,35,46,-1003
34064200,-17,62,-1040
34564200,-103,17,-1007
35064200,66,39,-1034
35564200,15,80,-1026
36064200,-117,50,-1057
36564200,-17,23,-976
37064200,93,52,-1026
37564200,-48,68,-1048
38064200,-126,5,-1026
38219000,66,48,-1036
38719000,-25,54,-1001
39219000,-40,52,-1046
39719000,37,21,-997
40219000,29,89,-1056
40719000,-117,31,-1046
41219000,-40,15,-985
41719000,95,80,-1034
42219000,-27,42,-1015
42719000,-68,56,-1065
43219000,13,15,-974
43719000,31,80,-1059
44219000,-105,40,-1015
44719000,27,19,-1028
45219000,37,80,-1046
45719000,-85,42,-1036
46355900,3,27,-976
46855900,74,68,-1022
47355900,-39,76,-1042
47855900,-130,1,-1042
48355900,40,39,-1003
48855900,25,68,-1013
49355900,-80,40,-1036
49855900,27,37,-1016
50355900,25,35,-1011
50855900,-80,78,-1052
51355900,-66,7,-991
51855900,66,72,-1038
52355900,-5,80,-1056
52855900,-107,0,-1011
53355900,76,62,-1009
53855900,0,42,-993
54265800,-62,78,-1087
54765800,-89,-7,-991
55265800,74,68,-1048
55765800,-70,48,-1015
56265800,-23,39,-1018
56765800,89,58,-1020
57265800,-23,64,-1046
57765800,-99,23,-1042
58265800,5,21,-979
58765800,62,81,-1046
59265800,-107,50,-1030
59765800,-21,17,-1034
60265800,64,52,-991
60765800,-50,62,-1032
61265800,-42,25,-1032
61765800,13,44,-999
62340000,17,72,-1071
62840000,-113,17,-1005
63340000,39,48,-1001
63840000,70,58,-1022
64340000,-124,62,-1059
64840000,-56,9,-1016
65340000,50,48,-999
65840000,3,89,-1050
66340000,-85,0,-1001
66840000,80,70,-1056
67340000,-42,48,-1005
67840000,-76,39,-1044
68340000,15,29,-993
68840000,52,70,-1026
69340000,-66,66,-1063
69840000,-91,17,-1009
70204800,81,50,-999
70704800,-13,74,-1040
71204800,-93,35,-1042
71704800,23,17,-1013
72204800,23,72,-1042
72704800,-78,33,-999
73204800,23,11,-1015
73704800,62,89,-1036
74204800,-89,44,-1040
74704800,-72,35,-1026
75204800,58,42,-995
75704800,19,66,-1024
76204800,-68,56,-1056
76704800,-3,-7,-987
77204800,52,93,-1059
77704800,-134,29,-991
78186600,25,44,-1054
78686600,19,52,-1005
79186600,-35,74,-1073
79686600,-70,1,-979
80186600,74,44,-997
80686600,29,80,-1052
81186600,-158,13,-1046
81686600,5,33,-1030
82186600,23,68,-1005
82686600,-42,46,-1028
83186600,-9,31,-1016
83686600,66,52,-1034
84186600,-62,54,-1048
84686600,-113,23,-1007
85186600,70,42,-1011
85686600,9,89,-1026
86096500,-87,29,-1069
86596500,-1,13,-987
87096500,52,78,-1011
87596500,-44,42,-1036
88096500,-72,15,-1020
88596500,42,74,-1040
89096500,-37,33,-1013
89596500,-46,60,-1036
90096500,48,1,-972
90596500,66,105,-1077
91096500,-173,31,-1026
91596500,-25,9,-1001
92096500,52,64,-1020
92596500,-50,68,-1038
93096500,-39,27,-1042
93596500,39,46,-1009
94168100,-17,68,-1034
94668100,-89,25,-1018
95168100,52,29,-1016
95668100,25,58,-1038
96168100,-109,44,-1061
96668100,-13,29,-983
97168100,74,56,-1016
97668100,-31,76,-1056
98168100,-99,23,-1036
98668100,33,33,-1009
99168100,3,72,-1032
99668100,-70,15,-1003
100168100,70,54,-1034
100668100,7,48,-1032
101168100,-76,56,-1057
101668100,-74,0,-974
102307800,103,85,-1042
102807800,-19,58,-1028
103307800,-91,17,-1050
103807800,37,40,-999
104307800,-5,64,-1005
104807800,-56,64,-1065
105307800,-23,0,-1003
105807800,52,85,-1054
106307800,-81,54,-1009
106807800,-5,7,-1005
107307800,87,56,-1013
107807800,-25,70,-1065
108307800,-150,13,-1028
108807800,3,50,-1001
109307800,60,56,-1026
109807800,-70,66,-1034
110090300,9,15,-1028
110590300,39,58,-1026
111090300,-103,52,-1020
111590300,-40,23,-1018
112090300,62,44,-1009
112590300,9,89,-1073
113090300,-130,1,-1011
113590300,66,56,-1007
114090300,13,54,-991
114590300,-58,50,-1083
115090300,-89,15,-1015
115590300,19,64,-1024
116090300,-46,66,-1026
116590300,-33,15,-1009
117090300,111,50,-1026
117590300,-21,64,-1038
118007400,-130,33,-1038
118507400,3,11,-981
119007400,64,83,-1052
119507400,-87,58,-1026
120007400,-29,15,-1042
120507400,56,60,-1005
121007400,-46,70,-1026
121507400,-60,1,-1024
122007400,40,58,-1028
122507400,0,54,-1048
123007400,-109,56,-1028
123507400,15,9,-977
124007400,109,89,-1040
124507400,-113,40,-1056
125007400,-68,25,-1030
125507400,17,39,-989
125741400,-5,80,-1036
126241400,-58,21,-1018
126741400,37,31,-1015
127241400,13,81,-1050
127741400,-128,27,-1005
128241400,19,40,-1032
128741400,52,50,-1009
129241400,-44,60,-1071
129741400,-91,19,-999
130241400,83,56,-1009
130741400,-9,74,-1011
131241400,-83,35,-1071
131741400,17,13,-1009
132241400,0,89,-1032
132741400,-76,29,-1020
133241400,23,33,-997
133877400,58,62,-1032
134377400,-76,52,-1057
134877400,-119,31,-1011
135377400,70,50,-1005
135877400,29,78,-1042
136377400,-93,46,-1038
136877400,13,5,-1003
137377400,50,78,-1034
137877400,-113,44,-1009
138377400,-1,29,-1044
138877400,48,64,-1022
139377400,-64,56,-1042
139877400,-50,37,-1009
140377400,56,33,-979
140877400,66,93,-1052
141377400,-150,0,-1046
141820400,-23,46,-1009
142320400,9,54,-999
142820400,-27,64,-1050
143320400,-25,23,-1003
143820400,81,56,-1044
144320400,-66,62,-1024
144820400,-93,29,-1022
145320400,40,7,-999
145820400,27,89,-1059
146320400,-101,40,-1050
146820400,-5,25,-1003
147320400,56,64,-1011
147820400,-29,72,-1026
148320400,-85,0,-1036
148820400,54,50,-1032
149320400,-58,60,-1016
149626900,-78,39,-1026
150126900,76,39,-999
150626900,48,68,-1050
151126900,-107,62,-1059
151626900,-80,-13,-972
152126900,76,91,-1032
152626900,-37,48,-1032
153126900,-48,29,-1040
153626900,37,56,-1009
154126900,-9,85,-1028
154626900,-87,29,-1018
155126900,42,40,-1020
155626900,50,60,-1056
156126900,-122,48,-1034
156626900,-27,5,-1003
157126900,80,56,-1011
157633800,-19,83,-1056
158133800,-87,-5,-1038
158633800,23,54,-1007
159133800,-3,78,-1026
159633800,-64,17,-1032
160133800,62,40,-1018
160633800,25,46,-1030
161133800,-85,72,-1061
161633800,-83,-1,-985
162133800,93,68,-1018
162633800,15,70,-1063
163133800,-148,11,-1005
163633800,58,44,-1026
164133800,0,54,-1007
164633800,-66,72,-1052
165133800,-3,-7,-1026
165540100,37,80,-1050
166040100,-95,54,-1018
166540100,-15,17,-1028
167040100,80,54,-985
167540100,9,68,-1067
168040100,-148,29,-1020
168540100,-3,50,-995
169040100,48,60,-1032
169540100,-64,58,-1044
170040100,0,21,-1018
170540100,42,68,-1018
171040100,-76,72,-1030
171540100,-48,21,-1015
172040100,52,29,-1018
172540100,-3,81,-1071
173040100,-111,21,-1013
173527800,17,31,-1003
174027800,93,80,-1015
174527800,-95,27,-1044
175027800,-25,31,-1050
175527800,5,42,-993
176027800,-23,78,-1044
176527800,-56,11,-1005
177027800,97,46,-1020
177527800,-1,74,-1050
178027800,-119,48,-1026
178527800,9,1,-995
179027800,70,89,-1026
179527800,-68,42,-1059
180027800,-62,25,-1018
180527800,50,56,-1009
181027800,-15,78,-1020
181426400,-68,33,-1026
181926400,50,15,-1018
182426400,1,74,-1046
182926400,-126,31,-1020
183426400,7,19,-989
183926400,105,89,-1042
184426400,-85,39,-1036
184926400,-64,39,-1038
185426400,29,48,-985
185926400,-13,72,-1026
186426400,-39,29,-1054
186926400,1,31,-999
187426400,17,85,-1046
187926400,-121,42,-1028
188426400,5,33,-1005
188926400,85,35,-1036
189149300,-46,70,-1065
189649300,-107,17,-1001
190149300,83,37,-1005
190649300,-13,85,-1020
191149300,-74,37,-1048
191649300,13,19,-1015
192149300,7,89,-1024
192649300,-85,52,-1028
193149300,13,1,-1009
193649300,78,64,-1036
194149300,-66,46,-1044
194649300,-115,35,-1030
195149300,37,35,-991
195649300,44,91,-1048
196149300,-93,23,-1032
196649300,29,33,-999
197307400,9,52,-1013
197807400,-70,83,-1050
198307400,-66,-11,-991
198807400,85,70,-1052
199307400,-64,62,-1013
199807400,-66,35,-1018
200307400,66,35,-981
200807400,37,72,-1040
201307400,-103,33,-1057
201807400,-39,25,-1007
202307400,33,78,-1018
202807400,-54,66,-1048
203307400,-7,11,-1013
203807400,81,42,-1032
204307400,-29,80,-1026
204807400,-115,17,-1022
205296700,48,37,-1009
205796700,29,58,-1044
206296700,-97,42,-1050
206796700,-17,33,-1003
207296700,66,62,-1003
207796700,-25,76,-1063
208296700,-70,-1,-1026
208796700,52,35,-1026
209296700,-29,85,-1018
209796700,-113,9,-1020
210296700,83,50,-1020
210796700,39,48,-1042
211296700,-115,64,-1042
211796700,-50,0,-1009
212296700,58,78,-1009
212796700,-23,56,-1050
213323100,-48,13,-1038
213823100,21,46,-989
214323100,19,72,-1042
214823100,-91,52,-1020
215323100,29,9,-1020
215823100,52,68,-1032
216323100,-103,58,-1038
216823100,-39,7,-995
217323100,74,50,-1013
217823100,-17,78,-1057
218323100,-109,11,-1016
218823100,21,58,-1013
219323100,-3,72,-1011
219823100,-50,42,-1038
220323100,31,0,-1011
220823100,58,64,-1038
221278300,-111,52,-1036
221778300,-46,44,-1026
222278300,62,27,-1003
222778300,7,81,-1067
223278300,-130,33,-1030
223778300,39,23,-993
224278300,42,81,-1040
224778300,-103,29,-1026
225278300,1,13,-1044
225778300,25,72,-1030
226278300,-80,80,-1036
226778300,-29,17,-1018
227278300,89,46,-1007
227778300,15,62,-1050
228278300,-140,39,-1026
228778300,-13,15,-999
229286500,64,97,-1050
229786500,-74,35,-1032
230286500,0,29,-1013
230786500,56,64,-1013
231286500,-64,68,-1026
231786500,-66,11,-1032
232286500,56,27,-1015
232786500,-11,72,-1052
233286500,-103,46,-1036
233786500,-1,27,-981
234286500,103,83,-1036
234786500,-78,29,-1042
235286500,-52,27,-1022
235786500,21,35,-1018
236286500,-46,78,-1046
236786500,-60,21,-1018
237133800,99,23,-1024
237633800,1,85,-1009
238133800,-103,29,-1052
238633800,3,17,-979
239133800,50,54,-1044
239633800,-56,44,-1038
240133800,-68,17,-1020
240633800,76,66,-1015
241133800,-17,66,-1026
241633800,-70,44,-1046
242133800,31,0,-1003
242633800,9,83,-1050
243133800,-124,48,-1040
243633800,5,21,-1003
244133800,76,50,-1032
244633800,-35,81,-1052
245033600,-105,-3,-1013
245533600,42,72,-1022
246033600,-5,66,-1032
246533600,-70,9,-1016
247033600,50,35,-1018
247533600,9,56,-1009
248033600,-111,66,-1057
248533600,-29,17,-1001
249033600,80,42,-1042
249533600,-39,76,-1052
250033600,-105,33,-1003
250533600,76,33,-1011
251033600,19,97,-1036
251533600,-103,-7,-1042
252033600,13,46,-1016
252533600,0,78,-1028
252981800,-76,66,-1042
253481800,5,7,-1015
253981800,85,58,-1013
254481800,-33,60,-1052
254981800,-121,19,-1015
255481800,40,42,-1007
255981800,19,76,-1046
256481800,-95,35,-1032
256981800,27,40,-1016
257481800,40,56,-1003
257981800,-52,74,-1042
258481800,-46,-19,-1020
258981800,64,50,-1018
259481800,-37,80,-1036
259981800,-97,37,-1026
260481800,62,44,-991
261014800,56,52,-1057
261514800,-111,52,-1020
262014800,-56,13,-1013
262514800,50,72,-1022
263014800,-72,56,-1056
263514800,-19,31,-1024
264014800,68,44,-1009
264514800,-1,81,-1040
265014800,-117,35,-1009
265514800,52,5,-1013
266014800,27,62,-1028
266514800,-101,44,-1056
267014800,-33,27,-999
267514800,81,76,-1020
268014800,-35,60,-1046
268514800,-62,25,-1020
269000300,35,23,-997
269500300,-13,78,-1048
270000300,-115,39,-1020
270500300,44,0,-999
271000300,64,83,-1042
271500300,-109,48,-1013
272000300,-29,33,-1042
272500300,42,52,-1003
273000300,-21,66,-1042
273500300,-68,0,-1032
274000300,33,50,-985
274500300,25,76,-1056
275000300,-105,58,-1016
275500300,17,7,-1032
276000300,54,66,-1016
276500300,-93,62,-1050
276901900,-48,5,-995
277401900,83,46,-1030
277901900,-11,62,-1042
278401900,-113,31,-1032
278901900,13,35,-993
279401900,25,89,-1050
279901900,-76,40,-1032
280401900,9,1,-995
280901900,72,70,-1030
281401900,-87,44,-1026
281901900,-60,31,-1026
282401900,56,35,-1022
282901900,-15,64,-1040
283401900,-99,46,-1022
283901900,37,11,-987
284401900,37,91,-1020
284513600,-83,35,-1056
285013600,-23,11,-999
285513600,29,64,-1032
286013600,-70,81,-1030
286513600,-54,17,-1034
287013600,99,52,-1003
287513600,5,66,-1034
288013600,-113,39,-1030
288513600,-1,27,-995
289013600,52,56,-1059
289513600,-80,56,-1032
290013600,-17,17,-1020
290513600,66,66,-1011
291013600,-35,89,-1040
291513600,-83,9,-1018
292013600,44,27,-1020
292790600,1,62,-1032
293290600,-130,40,-1040
293790600,27,60,-1005
294290600,58,44,-1013
294790600,-37,83,-1069
295290600,-99,0,-979
295790600,50,54,-1032
296290600,-44,72,-1044
296790600,-70,11,-1026
297290600,80,27,-1032
297790600,1,81,-1001
298290600,-81,60,-1065
298790600,-23,31,-976
299290600,64,44,-1054
299790600,-60,46,-1016
300290600,-76,17,-1026
