timestamp,x,y,z
14290600,-40,-48,-999
14790600,121,78,-1015
15290600,72,173,-1028
15790600,-163,138,-1061
16290600,-138,3,-1026
16790600,13,-52,-1030
17290600,-9,11,-1026
17790600,-13,-54,-989
18290600,183,103,-1016
18790600,19,187,-1044
19290600,-163,101,-1057
19790600,-150,-21,-1015
20290600,17,-40,-1022
20790600,-15,-29,-1028
21290600,25,-3,-976
21790600,148,111,-1013
21982200,-17,201,-1085
22482200,-210,66,-1052
22982200,-37,-42,-993
23482200,29,-19,-1032
23982200,-37,-31,-1020
24482200,74,7,-993
24982200,128,152,-1032
25482200,-103,156,-1054
25982200,-167,23,-1050
26482200,0,-17,-1013
26982200,-19,-33,-1005
27482200,-5,-21,-1030
27982200,119,54,-958
28482200,103,179,-1075
28982200,-175,122,-1032
29482200,-136,-7,-1044
30203400,13,-23,-1009
30703400,-3,-13,-1026
31203400,13,-25,-985
31703400,136,117,-1005
32203400,31,191,-1071
32703400,-234,76,-1034
33203400,-60,-17,-1032
33703400,9,-40,-1009
34203400,-29,1,-1034
34703400,44,-15,-974
35203400,150,136,-1022
35703400,-40,179,-1077
36203400,-203,50,-1042
36703400,-33,-42,-1009
37203400,-5,-9,-1016
37703400,-3,-54,-1032
38150100,85,44,-954
38650100,107,169,-1048
39150100,-99,167,-1056
39650100,-191,11,-1030
40150100,13,-33,-1013
40650100,-11,-42,-1020
41150100,1,-1,-1024
41650100,113,62,-970
42150100,89,193,-1063
42650100,-183,134,-1052
43150100,-138,-27,-1020
43650100,29,-21,-1034
44150100,-64,-33,-1013
44650100,39,-23,-1013
45150100,171,105,-987
45650100,-11,199,-1063
46055800,-185,89,-1044
46555800,-93,-40,-1018
47055800,9,-21,-1028
47555800,-29,-50,-1020
48055800,70,1,-985
48555800,130,140,-1013
49055800,-44,169,-1093
49555800,-197,54,-1013
50055800,-27,-54,-1022
50555800,13,0,-1034
51055800,-76,-54,-1003
51555800,142,31,-1011
52055800,87,152,-1003
52555800,-109,160,-1083
53055800,-150,31,-1018
