timestamp,x,y,z
11543200,-117,-105,-999
12043200,160,-5,-993
12543200,89,58,-1028
13043200,-42,130,-1046
13543200,-9,121,-1018
14043200,-52,83,-1059
14543200,-173,-46,-1056
15043200,-15,-91,-977
15543200,146,9,-1013
16043200,13,89,-997
16543200,1,130,-1067
17043200,9,101,-995
17543200,-107,52,-1087
18043200,-187,-50,-1018
18543200,25,-89,-1001
19043200,191,54,-1007
19543200,-31,80,-997
20043200,19,150,-1089
20543200,-37,109,-995
21043200,-130,31,-1089
21543200,-160,-87,-983
22043200,124,-58,-1009
22543200,132,42,-1022
23043200,-46,134,-1015
23543200,13,121,-1036
24043200,-31,117,-1040
24543200,-165,-19,-1057
25043200,-83,-74,-997
25543200,117,-1,-1005
26043200,101,62,-1011
26543200,-33,105,-1026
27043200,17,140,-1032
27543200,-70,60,-1054
28043200,-169,-13,-1071
28543200,-56,-105,-938
29043200,214,5,-1046
29543200,0,68,-991
30043200,1,128,-1054
30543200,9,122,-1009
31043200,-140,52,-1046
31543200,-148,-44,-1056
32043200,52,-81,-985
32543200,154,39,-1018
33043200,-46,99,-997
33543200,17,132,-1044
34043200,9,101,-1024
34543200,-191,19,-1061
35043200,-126,-64,-1011
35543200,83,-46,-977
36043200,154,74,-1032
36543200,-33,97,-1005
37043200,33,122,-1056
37543200,-52,105,-1048
38043200,-185,-25,-1050
38543200,-62,-70,-997
39043200,138,-29,-1007
39543200,81,91,-1028
40043200,-76,115,-1009
40543200,52,144,-1036
41043200,-89,72,-1042
41543200,-185,-48,-1067
42043200,15,-72,-966
42543200,97,17,-991
43043200,64,111,-1054
43543200,-33,85,-977
44043200,62,163,-1089
44543200,-197,37,-1001
45043200,-121,-74,-1073
45543200,40,-50,-950
46043200,150,13,-1026
46543200,1,95,-1022
47043200,-27,134,-1032
47543200,19,122,-1040
48043200,-230,17,-1032
48543200,-76,-81,-1036
49043200,111,-70,-981
49543200,93,74,-1026
50043200,-46,99,-1003
50543200,27,148,-1034
51043200,-23,99,-1065
51543200,-240,-27,-1026
52043200,-15,-54,-1028
52543200,99,-33,-960
53043200,105,89,-1067
53543200,-42,95,-970
54043200,42,134,-1073
54543200,-93,103,-1046
55043200,-230,-101,-1026
55543200,62,-33,-999
56043200,95,-31,-1001
56543200,66,103,-1065
57043200,-62,109,-976
57543200,27,158,-1052
58043200,-163,29,-1034
58543200,-142,-80,-1057
59043200,81,-46,-977
59543200,87,35,-995
60043200,3,105,-1044
60543200,27,117,-1005
61043200,1,124,-1077
61543200,-222,15,-1034
62043200,-76,-99,-1026
62543200,115,-21,-976
63043200,56,25,-1022
63543200,15,105,-1030
64043200,-1,140,-1013
64543200,-17,107,-1079
65043200,-234,-31,-995
65543200,-15,-68,-1038
66043200,160,-27,-997
66543200,5,78,-1011
67043200,-9,136,-1032
67543200,25,115,-1003
68043200,-44,89,-1114
68543200,-253,-80,-983
69043200,46,-64,-1013
69543200,126,17,-1009
70043200,1,78,-1036
70543200,29,132,-1018
71043200,-19,134,-1032
71543200,-136,48,-1087
72043200,-173,-95,-983
72543200,99,-31,-1013
73043200,52,3,-985
73543200,27,119,-1065
74043200,13,138,-995
74543200,-9,134,-1054
75043200,-204,-1,-1048
75543200,-85,-109,-1022
76043200,142,-7,-1007
76543200,3,35,-979
77043200,17,130,-1059
77543200,42,126,-999
78043200,-76,101,-1081
78543200,-224,-3,-1038
79043200,-25,-119,-987
79543200,183,21,-1028
80043200,-19,27,-977
80543200,40,132,-1059
81043200,-3,154,-1003
81543200,-95,78,-1085
82043200,-212,-64,-985
82543200,64,-89,-1026
83043200,130,9,-1015
83543200,-21,83,-1020
84043200,7,134,-1013
84543200,1,140,-1042
85043200,-124,42,-1079
85543200,-191,-85,-1018
86043200,87,-33,-985
86543200,97,27,-1022
87043200,-13,83,-1022
87543200,76,126,-1032
88043200,-64,146,-1026
88543200,-245,39,-1085
89043200,-17,-122,-974
89543200,93,-7,-1013
90043200,29,40,-1005
90543200,31,78,-1036
91043200,27,173,-1022
91543200,-105,93,-1052
92043200,-171,-31,-1026
92543200,-3,-68,-1028
93043200,136,11,-1005
93543200,-3,42,-1011
94043200,-5,142,-1028
94543200,62,117,-1054
95043200,-134,81,-1057
95543200,-210,-48,-1032
96043200,52,-80,-962
96543200,132,46,-1067
97043200,-33,52,-981
97543200,50,130,-1050
98043200,-13,167,-1034
98543200,-187,19,-1065
99043200,-101,-66,-1009
99543200,60,-58,-981
100043200,126,50,-1052
100543200,-50,78,-987
101043200,58,173,-1040
101543200,-48,97,-1034
102043200,-197,-1,-1093
102543200,-44,-74,-987
103043200,89,-37,-979
103543200,54,72,-1040
104043200,-23,83,-993
104543200,97,158,-1073
