timestamp,x,y,z
11806700,-718,384,-1231
12306700,-197,-407,-952
12806700,876,162,-917
13306700,-700,341,-1214
13806700,-222,-370,-979
14306700,878,124,-899
14806700,-689,355,-1212
15306700,-257,-359,-970
15806700,884,99,-895
16306700,-661,394,-1214
16806700,-304,-359,-954
17306700,892,109,-901
17806700,-636,380,-1198
18306700,-353,-335,-964
18806700,917,72,-905
19306700,-607,382,-1194
19806700,-353,-316,-977
20306700,888,25,-915
20806700,-579,423,-1192
21306700,-415,-325,-968
21806700,933,3,-921
22306700,-550,406,-1177
22806700,-433,-296,-983
23306700,927,-13,-911
23806700,-538,437,-1175
24306700,-464,-281,-987
24806700,913,-39,-915
25306700,-478,441,-1175
25806700,-513,-271,-976
26306700,915,-52,-938
26806700,-468,439,-1139
27306700,-523,-226,-1003
27806700,917,-121,-935
28306700,-419,466,-1151
28806700,-542,-234,-1007
29306700,892,-134,-929
29806700,-353,474,-1153
30306700,-571,-232,-989
30806700,878,-142,-948
31306700,-306,464,-1128
31806700,-618,-169,-1009
32306700,854,-169,-942
32806700,-269,464,-1122
33306700,-622,-165,-1011
33806700,825,-203,-942
34306700,-201,456,-1114
34806700,-675,-126,-1013
35306700,804,-189,-966
35806700,-183,437,-1097
36306700,-667,-101,-1028
36806700,790,-234,-960
37306700,-109,427,-1093
37806700,-691,-81,-1026
38306700,733,-232,-962
38806700,-91,447,-1059
39306700,-689,-64,-1054
39806700,714,-253,-946
40306700,-7,435,-1075
40806700,-745,-58,-1056
41306700,698,-257,-972
41806700,-17,415,-1050
42306700,-728,-23,-1046
42806700,646,-283,-974
43306700,54,447,-1044
43806700,-769,-21,-1069
44306700,630,-283,-974
44806700,89,394,-1026
45306700,-751,21,-1073
45806700,581,-343,-977
46306700,136,435,-1034
46806700,-776,25,-1069
47306700,527,-331,-985
47806700,206,419,-1026
48306700,-778,15,-1057
48806700,499,-327,-997
49306700,214,402,-999
49806700,-780,81,-1085
50306700,454,-366,-989
50806700,277,374,-995
51306700,-769,117,-1100
